page,car_name,car_price,car_km,car_year,car_desc,car_store,car_engine,car_gearbox,car_fuel,car_color
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,CHEVROLET ONIX,81990.0,45428.0,2020,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,CHEVROLET TRACKER,106990.0,24711.0,2021,TURBO FLEX LTZ AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,PEUGEOT 2008,73990.0,49348.0,2022,16V FLEX ALLURE PACK 4P AUTOMÁTICO,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,CHEVROLET ONIX,73990.0,44667.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,CHEVROLET ONIX,73990.0,34478.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,CHEVROLET ONIX,73990.0,30386.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,PEUGEOT 208,65990.0,49424.0,2023,FIREFLY FLEX LIKE MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,CHEVROLET ONIX,71990.0,30815.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,CHEVROLET ONIX,70990.0,48047.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,CHEVROLET TRAILBLAZER,169990.0,124000.0,2019,LTZ 4X4 16V TURBO DIESEL 4P AUTOMÁTICO,,2.8,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,CHEVROLET TRACKER,115990.0,53070.0,2023,TURBO FLEX LTZ AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,CHEVROLET ONIX,68990.0,40185.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,CITROËN C4 CACTUS,77990.0,44561.0,2022,VTI 120 FLEX FEEL EAT6,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,RENAULT LOGAN,57990.0,59615.0,2023,12V SCE FLEX ZEN MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,KIA SPORTAGE,112990.0,49981.0,2019,EX 4X2 16V FLEX 4P AUTOMÁTICO,,2.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,JEEP RENEGADE,108990.0,26738.0,2022,T270 TURBO FLEX LONGITUDE AT6,,1.3,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,CHEVROLET TRACKER,116990.0,41079.0,2021,TURBO FLEX PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,CHEVROLET ONIX,72990.0,25396.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,CHEVROLET ONIX,71990.0,34879.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,PEUGEOT 2008,73990.0,48475.0,2022,16V FLEX ALLURE PACK 4P AUTOMÁTICO,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,CHEVROLET TRACKER,81800.0,65532.0,2019,16V TURBO FLEX MIDNIGHT AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,CHEVROLET CRUZE,100990.0,55223.0,2022,TURBO LT 16V FLEX 4P AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,CHEVROLET ONIX,71990.0,39062.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,CHEVROLET ONIX,69990.0,62425.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,CHEVROLET ONIX,73990.0,26792.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,CHEVROLET JOY,62990.0,23782.0,2021,SPE4 FLEX PLUS MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,CHEVROLET TRACKER,107990.0,22450.0,2021,TURBO FLEX LTZ AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,CHEVROLET ONIX,61990.0,49723.0,2018,MPFI ADVANTAGE 8V FLEX 4P AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,PEUGEOT 208,66990.0,45669.0,2023,FIREFLY FLEX LIKE MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,CHEVROLET ONIX,73990.0,65311.0,2021,TURBO FLEX PLUS LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,VOLKSWAGEN NIVUS,124990.0,19826.0,2023,200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,RENAULT KWID,55990.0,51592.0,2023,12V SCE FLEX INTENSE MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,CHEVROLET ONIX,82990.0,58293.0,2022,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,CHEVROLET TRACKER,107800.0,25153.0,2022,TURBO FLEX LTZ AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,PEUGEOT 2008,68990.0,51719.0,2019,16V FLEX GRIFFE 4P AUTOMÁTICO,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,CHEVROLET TRACKER,106990.0,21684.0,2022,TURBO FLEX LT AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,HYUNDAI HB20X,75990.0,36703.0,2021,16V PREMIUM FLEX 4P MANUAL,,1.6,Manual,Flex,
